"Código","Nome","UF","Latitude","Longitude","Altitude","Fundação","DataFinal"
"A238","BURITICUPU","MA",-4.3206,-46.4494,174.91,"2008-09-11","2022-12-31"
"A255","ZE DOCA","MA",-3.2692,-45.6511,45.5,"2019-09-18","2022-12-31"
"A310","AREIA","PB",-6.9755,-35.7181,573.45,"2004-11-16","2022-12-31"
"A313","CAMPINA GRANDE","PB",-7.2256,-35.9048,546.17,"2006-12-22","2022-12-31"
"A320","JOAO PESSOA","PB",-7.1653,-34.8156,33.5,"2007-07-21","2022-12-31"
"A321","PATOS","PB",-7.0797,-37.2728,263.66,"2007-07-21","2022-12-31"
"A333","SAO GONCALO","PB",-6.8358,-38.3116,237.04,"2007-11-06","2022-12-31"
"A334","MONTEIRO","PB",-7.8944,-37.1247,606.39,"2007-08-22","2022-12-31"
"A348","CABACEIRAS","PB",-7.4832,-36.2865,391.96,"2008-02-28","2022-12-31"
"A352","CAMARATUBA","PB",-6.5619,-35.1353,135.51,"2008-05-04","2022-12-31"
"A373","ITAPORANGA","PB",-7.3183,-38.1408,292,"2017-11-03","2022-12-31"
"A301","RECIFE","PE",-8.0593,-34.9592,11.3,"2004-12-22","2022-12-31"
"A307","PETROLINA","PE",-9.3883,-40.5233,372.72,"2003-02-21","2022-12-31"
"A309","ARCO VERDE","PE",-8.4336,-37.0556,683.95,"2004-11-20","2022-12-31"
"A322","GARANHUNS","PE",-8.9108,-36.4933,827.78,"2007-07-08","2022-12-31"
"A328","SURUBIM","PE",-7.8397,-35.8011,421.44,"2008-03-09","2022-12-31"
"A329","CABROBO","PE",-8.5039,-39.3153,342.74,"2007-09-04","2022-12-31"
"A341","CARUARU","PE",-8.3653,-36.0283,852,"2007-11-21","2022-12-31"
"A349","IBIMIRIM","PE",-8.5094,-37.7117,434.23,"2008-10-14","2022-12-31"
"A350","SERRA TALHADA","PE",-7.9542,-38.295,499.02,"2008-07-09","2022-12-31"
"A351","FLORESTA","PE",-8.5989,-38.5842,327.42,"2008-09-15","2022-12-31"
"A357","PALMARES","PE",-8.6667,-35.5681,164.01,"2008-09-04","2022-12-31"
"A366","OURICURI","PE",-7.8858,-40.1028,457.85,"2010-08-11","2022-12-31"
"A370","SALGUEIRO","PE",-8.0581,-39.0961,447,"2017-09-15","2022-12-31"
"A308","PARNAIBA","PI",-3.0867,-41.7831,52.11,"2003-02-06","2022-12-31"
"A311","FLORIANO","PI",-6.7614,-43.0033,126.39,"2004-11-18","2022-12-31"
"A312","TERESINA","PI",-5.0347,-42.8014,75.23,"2004-11-24","2022-12-31"
"A326","BOM JESUS DO PIAUI","PI",-9.0833,-44.3264,296,"2007-07-17","2022-12-31"
"A330","PAULISTANA","PI",-8.1323,-41.1429,376,"2007-08-31","2022-12-31"
"A331","SAO JOAO DO PIAUI","PI",-8.3644,-42.2525,231,"2007-08-26","2022-12-31"
"A335","PIRIPIRI","PI",-4.276,-41.7946,157.89,"2007-08-31","2022-12-31"
"A336","ALVORADA DO GURGUEIA","PI",-8.4417,-43.8656,261.26,"2007-11-17","2022-12-31"
"A337","CARACOL","PI",-9.2858,-43.3244,515.3,"2007-11-10","2022-12-31"
"A343","PICOS","PI",-7.0711,-41.4042,232.91,"2008-12-12","2022-12-31"
"A345","SAO RAIMUNDO NONATO","PI",-9.0333,-42.7011,385,"2008-02-27","2022-12-31"
"A346","URUCUI","PI",-7.4414,-44.345,398.83,"2008-03-06","2022-12-31"
"A354","OEIRAS","PI",-6.9741,-42.1468,154.03,"2008-07-22","2022-12-31"
"A361","CASTELO DO PIAUI","PI",-5.3492,-41.5123,268.75,"2009-04-20","2022-12-31"
"A363","VALENCA DO PIAUI","PI",-6.3993,-41.74,313.39,"2009-04-18","2022-12-31"
"A364","GILBUES","PI",-9.8753,-45.3458,425.1,"2009-05-16","2022-12-31"
"A365","CANTO DO BURITI","PI",-8.1181,-42.9758,312.07,"2010-06-12","2022-12-31"
"A374","CORRENTE","PI",-10.4292,-45.1731,452,"2018-03-28","2022-12-31"
"A375","BAIXA GRANDE DO RIBEIRO","PI",-8.3335,-45.0946,519,"2018-03-23","2022-12-31"
"A376","CAMPO MAIOR","PI",-4.8642,-42.1456,125,"2018-11-23","2022-12-31"
"A377","ANGICAL DO PIAUI","PI",-6.0894,-42.7275,183,"2019-11-14","2022-12-31"
"A302","ARQ.SAO PEDRO E SAO PAULO","RN",0.9169,-29.3459,15,"2003-11-02","2020-12-31"
"A304","NATAL","RN",-5.8372,-35.2081,47.46,"2003-02-24","2022-12-31"
"A316","CAICO","RN",-6.4675,-37.085,171.26,"2007-01-07","2022-12-31"
"A317","MACAU","RN",-5.1511,-36.5731,17.37,"2007-01-06","2022-12-31"
"A318","MOSSORO","RN",-4.9042,-37.3669,29.44,"2007-05-22","2022-12-31"
"A340","APODI","RN",-5.6267,-37.815,131.41,"2007-11-14","2022-12-31"
